"group","category","outcome","n","percent","lower","upper"
"Ever used marijuana","No","Seriously considered",11133,14.2752147819335,12.0247123719418,16.5257171919252
"School-night sleep","Under 8 hours","Seriously considered",13228,23.097991705342,20.8779821235827,25.3180012871013
"School-night sleep","8 or more hours","Seriously considered",3917,11.3138238123717,9.42583421181344,13.2018134129299
"Unstable housing, past 30 days","Yes","Seriously considered",461,41.9404814388407,27.3448310512697,56.5361318264117
"Unstable housing, past 30 days","No, including elsewhere","Seriously considered",13755,19.82037800634,18.1984743618999,21.44228165078
"Household adult substance problem","Yes","Seriously considered",3771,37.9556553277305,34.8809635034333,41.0303471520276
"Household adult substance problem","No","Seriously considered",9306,14.5245305724694,12.9827254917082,16.0663356532306
"Household adult mental illness/suicidality","Yes","Seriously considered",4242,39.3030887950813,36.2309161992622,42.3752613909003
"Household adult mental illness/suicidality","No","Seriously considered",8795,13.0267230135301,11.4400644393717,14.6133815876884
"Adult met basic needs","Most/always","Seriously considered",13339,19.234084156837,17.6843295246345,20.7838387890395
"Adult met basic needs","Never/rarely/sometimes","Seriously considered",2119,29.2826347385454,21.5951384144717,36.9701310626191
"Feel close to school people","Agree/strongly agree","Seriously considered",5949,14.5830937551986,13.1998915719315,15.9662959384657
"Feel close to school people","Unsure/disagree","Seriously considered",5066,26.6586085136717,23.8779055987101,29.4393114286333
"Family knows whereabouts","Most/always","Seriously considered",8842,18.6124981167644,17.0695568528322,20.1554393806966
"Family knows whereabouts","Never/rarely/sometimes","Seriously considered",1767,28.026287709285,24.4773572016266,31.5752182169434
"Overall","All","Make a plan",18366,16.3884926971063,14.2519335531435,18.5250518410692
"Sex","Female","Make a plan",9018,21.2036508339197,18.7158906803764,23.691410987463
"Sex","Male","Make a plan",9231,11.8287392263351,9.76786575114697,13.8896127015233
"Grade","9th grade","Make a plan",5216,16.8308580944547,14.0879063471247,19.5738098417847
"Grade","10th grade","Make a plan",4964,16.6712211233572,14.6651915808643,18.6772506658502
"Grade","11th grade","Make a plan",4427,17.1036916790342,13.9554178791304,20.251965478938
"Grade","12th grade","Make a plan",3650,15.0863615634098,12.13376867698,18.0389544498396
"Race/ethnicity","AI/AN, non-Hispanic","Make a plan",1299,25.6761386871802,14.63490976523,36.7173676091303
"Race/ethnicity","Asian, non-Hispanic","Make a plan",928,12.6608608483178,10.0608680616014,15.2608536350342
"Race/ethnicity","Black, non-Hispanic","Make a plan",1726,15.895579421584,12.9220043792757,18.8691544638923
"Race/ethnicity","NH/PI, non-Hispanic","Make a plan",104,10.8818269363049,0,26.974371637928
"Race/ethnicity","White, non-Hispanic","Make a plan",8469,17.0458421925746,14.0905599555492,20.0011244296
"Race/ethnicity","Hispanic/Latino, any race","Make a plan",3832,15.5910116971065,13.4023576174388,17.7796657767742
"Race/ethnicity","Multiracial, non-Hispanic","Make a plan",1706,19.830009846384,14.7846067416273,24.8754129511408
"School bullying","Yes","Make a plan",3647,34.8556935674427,29.9706421016991,39.7407450331863
"School bullying","No","Make a plan",14599,11.8804949461104,10.6145491152351,13.1464407769857
"Electronic bullying","Yes","Make a plan",3096,38.6385175263355,31.869944115187,45.407090937484
"Electronic bullying","No","Make a plan",15168,12.0966080946731,10.9419652278664,13.2512509614797
"Sexual violence, past year","One or more times","Make a plan",1808,40.2847491621444,36.4580019413216,44.1114963829672
"Sexual violence, past year","Zero times","Make a plan",13772,12.5180314536147,11.219479899389,13.8165830078405
"Sad or hopeless","Yes","Make a plan",7463,35.7165646393646,32.471125099545,38.9620041791842
"Sad or hopeless","No","Make a plan",10802,3.7437218925625,3.07876880309313,4.40867498203187
"Poor mental health, past 30 days","Most/always","Make a plan",4267,35.9697711512998,33.5447598449421,38.3947824576575
